addresses,value
bc1ql85fn9upw8u8mjexyx3a9w3vq7ykq8efnsvefl,1538810
1CorEbce6aGvNfP15jJmkmhGiU8vYNsV5H,49703
bc1qnj9luqgx9sh5mlj2ndk0sec0vrkzy4ehtq4jxs,8687242
bc1qalqwqxqra7hxwvu7ty3jhstt5n7uw4c7yayxyc,200737
bc1qdafq5rha0rdstvxa6he5kapz722m46ax9hceqq,4176
bc1qfluyatsl5rqrlnap7vfcz2ylpf3ywtyqaz5mve,85725
33E53BqS13bdvyGh7ahoCL945uV3xPyFGh,68368
bc1qjg45sw9skzr9fvyqk5pcy9gn9py7e8s6j5jchp,59214
3EMDqHkT8jykBmQXnpfQs8KaRhwV1NTmDm,310920
bc1qp69khtj4xtl4408hnddjgga4qvyzfkj0cejdp0,1202737
bc1qzefhu3uu45l9gvuugtgpq9t5dywgdgk636955z,854400
bc1qa0wsnuu8pjg548yrly0xa0ga5z6vsa5kwaxsth,537674
bc1qr3jsffn787ceap4ajrw2ndduftek6twtjmlhmw,143535
bc1qms770neytt0hvucpmghf6jx0kygxwsu5zafz4j,12624667
bc1q26qk40eepkaf73ek5p3xq7qdxujkrndqzfyfas,1067564
17ARUhcneeER2esi1LAQSjp3ox1bchiDJn,201057
bc1qr43tlcd6gdfaenv0ffvu828dwsqarvv8q63c60,858873
bc1q8c726jzch53pfst8plq24hpdl07sje2t3vhyq5,7256
371gjNwRuQvgTLMkXJ5DgMqXNiUh3qQECc,290554
bc1qn4qlc4m0qn7gqyfdj8ny2yemyresut0m9hfhtr,2398332
bc1qk70k2eza4xjsxtwesqvaulq4p458a3572muemz,15488
bc1q07lgrl2n5j0f0dquvcqn0ns40uz9rngp4a8hay,14171
bc1q8fy76y828ys9atshqjulhsupnmt5yac2jlnsen,18617
bc1q8072knplse5gp72se7vvx4e3mg758z098ns65l,285882
bc1qd5nwght2hdgj4xv8xc4fvc526yjjuz75tj8ptq,29405
bc1qkjecag0nryuz5xrdaymvsg4vchc30w707ftkm7,9203245
bc1q0prlw6r8qalq8gyxgt7s39senavt4kwquddk9a,16732340328
1E28A9zoY5h1TP8nHJigzsBxjRXc8xAxwN,23496
bc1q7vnasdcf474utd30g3crm7dgf2jgx54gg36j99,6168
176k6dB1jNcp16swbNCxQ3s8ZyKkarATne,217330
bc1qs6jfruw82qtqhtrjpq26hg7hsz5wp2ejcqgxsd,8450479
bc1qns9f7yfx3ry9lj6yz7c9er0vwa0ye2eklpzqfw,276857922
36Apc2tsa8KGfSrzhG3PJXaggS96w6G518,2991500
3QxEbzUHMqdWUgLXjw9k1JsSKUvJfdyZ4x,641000
3CaqhPx2Tdyde1gJTptvTRtu31RJ5LS366,2777800
bc1qrqx4aykk36ne4w4mt0exkac6pz0tdjka5d2je5,1835507
3ANwqM91HvMZQTUoWRFMq63tLmuvRps5sg,2457300
bc1qgk23nh00mm4c2rx07spzmhtv6kddd73vzldwzn,2137000
3DCXH7s2n89xYiwdn72ecnRd6ufuqMEvXs,2777800
bc1qwtar76ngcytt04qwqddwpl2atxnkydwcs5cm6w,3846200
3AJuXY3rk5x3Br86swAqXsm6DxL3nRZiJR,2350400
3G8VCxCbkHGVmcFpNBBXwnbTuYoMhH6Vu7,122605
19CYGs7iizwJqk8z6UemofDZztYB9YVuW9,213548
bc1pvsuesrzg2dvlrcaqs4uv9jufrasfn6c8l9zf8l4p3rswqnzlud3qdqy8am,29618
3JgJUxHybzjAfsUCBnUhD1fKeFMKnnHVAy,426996
bc1qhg6sc6na7vw8e8uaqu3str00g3xgmvsy9s62f4,7055801
141xgYf5f7Fo8YkEzTKQKpE3hLKfxAc9m7,14963756
bc1q250w3ahympfxcfleucts453he2vv5ztvlxka6x,227705
1GtuDLP9QppXgFrQUhWU7Pn5QpfwXNc92x,1552940
3EAU41AZxHA4x987yqAxh7Ku4k7RCZ2uxs,17092
bc1qcz8xkcawn3kd5hkw2r6h47jv8r7vpgvh6eda4f,75684
3FCMp8bc2xL7JQcecfV89wqFDL3SSggonF,2137000
bc1q90lkg36qdxsz0zyjvlzwhmjay3pplcrp0vs6lq,4483440
1CHe8bwbguW687LKBBqYMWJK5kHDRbv5he,427200
bc1q5657zn2pznj2fl07lr5nkdzjus29l5elmgyjlx,2407048
3HbX4evmaF3wRzggATHQnsgKYTjD49VpvV,640860
bc1qp5ftu2c7ys2rxmwu0wx4ft9cpsdhaqg5xmj4hq,6014413
bc1q7sm4qk5ashejwqa2u9tv3pjhasmra6pmgcvscu,119264
bc1qzkatt85j2qjfpj4qjtykzf35t5cwkmuwvsmff4,8311098
3AUwNtajJwkKqWYj4nwbbjEQLqnd9Za997,38475
bc1q6le4ha0k0ahyds40xg8kfhxjejjj9jwjd5t6d8,296030
1GzqkQYtbb5FEic2ZV9PAyrr2aG2tydGQ8,21365
bc1qldlr46tegesfyra4u2u27kvs5va5jt7evxdc8n,359878
1BGaTfjSLmdJ3sei8PAntRVRhSJD8YP2Ei,753706
1BqpMkvAvCCbhrYsHN6nkBXmRpo7yXNaJx,2853675
3BhbHQv4kP5DMyQAe3jd5FcshRYYNxJCnt,440240
3NnRMfBd8ZAABZE7dCqv8Sa5YPZRQKBZEs,299000
bc1qzzaskpzrskcg3ku9a7gstvtatqhcf0y4nw2et8,359797778
3PJ3gg9N2KrYHDHWDLDHBheYB9Ye5FXaF9,175234
bc1q9c7zg7nkkns3pzqmup29t7clxltqkqv493gl2y,48498
3LZKvrFsUvnixGD6xGmssAv4N7g5d95577,427200
bc1qu3eltm4m2mjcnjt3vlxnvf6e2lu4h2tr343an3,3850314
bc1qplqyqc5wsccu8wgetsvrqlz6g4jf0rcgrsulsy,5129
3QRgFFN1ex1Sdksnwj1wTMoES59x5Hndbd,205152
bc1qdh45zep6clmt8vnptt97nrhpcp5vccrmruwshy,99941
bc1qjjy32y6dj3hfaruc9fpwupghe2dkcdd9svt9hr,181674
3L7rf5VsUkifQARBb1ZpF3k7pk1APNsNH5,345449
3MWeNgnJrhtbdmqJtxMKFZNZUHaHH4Gm2z,2075597
bc1qydjxuk89cg64yngrw3kgxukzgnwcw06gxxwzmu,27321349
bc1qdeeujrmjpmyvjfkghavxcj3jc80g4wa6ss7znw,530000
3H6NGsXkpspGo16shhgKTiWKfLZfa9USu6,4761818
bc1qgyu4ka3wcrquffz9hf0pr6ssf5d8gy7zqp2ag2,6000000
1GrwDkr33gT6LuumniYjKEGjTLhsL5kmqC,1923896084
bc1q3pn2vdcjj5uu2vla9q6zwc6q6cq3qsrhssml8k,998509
bc1q6uk647996enfegrkwqr0lutw64n2aux2umfg0m,81400
bc1qrjcxrxaaj2wm55pu24h40l2rzgpzy68slx9s4e,18606000
bc1p0qzw9urta7kw3xdgnp3c9nv8x35v6h7hraa86l48p3t487vzqz3sh7kfzy,129000
bc1qgehy5mr56wgvmzg88ane4ga8svk6fsgendlyg5,280782
15TXo2DTDEcCm2TP2nj8SsdRg2FggssYKc,602942
bc1qz0pgpufmrzcv5sjrrwactn85erpntyy285h9hh,1519713
bc1qj4dadyvce7fy6au5jy6uaz4jzl4renuaaaldts,4661418
32GYqqXMJuDD71BVRpHZSceSFHdGatpgHw,214980000
bc1qj8vn9gqe9ldrax527efxm49vt0fjl7d0kwk2ha,6130046
